Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
D:\EDU\UDACITY\ROBOTICS\ROVER\RoboND-Rover-Project\IMG\robocam_2018_02_15_19_04_13_698.jpg;0;0;1;0;99.66999;85.58897;0.000236204;56.82556;1.483708E-07
D:\EDU\UDACITY\ROBOTICS\ROVER\RoboND-Rover-Project\IMG\robocam_2018_02_15_19_04_13_754.jpg;0;0;0;0;99.66999;85.58897;0.000236204;56.82556;1.483708E-07
D:\EDU\UDACITY\ROBOTICS\ROVER\RoboND-Rover-Project\IMG\robocam_2018_02_15_19_04_13_819.jpg;0;0;0;0;99.66999;85.58897;0.000236204;56.82556;1.483708E-07
D:\EDU\UDACITY\ROBOTICS\ROVER\RoboND-Rover-Project\IMG\robocam_2018_02_15_19_04_13_886.jpg;0;0;0;0;99.66999;85.58897;0.0002360299;56.82556;-1.48449E-08
D:\EDU\UDACITY\ROBOTICS\ROVER\RoboND-Rover-Project\IMG\robocam_2018_02_15_19_04_13_952.jpg;0;0;0;0;99.66999;85.58897;0.0002359733;56.82556;-1.987288E-07
D:\EDU\UDACITY\ROBOTICS\ROVER\RoboND-Rover-Project\IMG\robocam_2018_02_15_19_04_14_019.jpg;0;0;0;0;99.66999;85.58897;0.0002359167;56.82556;-3.826192E-07
D:\EDU\UDACITY\ROBOTICS\ROVER\RoboND-Rover-Project\IMG\robocam_2018_02_15_19_04_14_086.jpg;0;0;0;0;99.66999;85.58897;0.0002359015;56.82556;-3.314796E-07
D:\EDU\UDACITY\ROBOTICS\ROVER\RoboND-Rover-Project\IMG\robocam_2018_02_15_19_04_14_152.jpg;0;0;0;0;99.66999;85.58897;0.0002359015;56.82556;-3.314796E-07
D:\EDU\UDACITY\ROBOTICS\ROVER\RoboND-Rover-Project\IMG\robocam_2018_02_15_19_04_14_219.jpg;0;0;0;0;99.66999;85.58897;0.0002359015;56.82556;-3.314796E-07
D:\EDU\UDACITY\ROBOTICS\ROVER\RoboND-Rover-Project\IMG\robocam_2018_02_15_19_04_14_286.jpg;0;0;0;0;99.66999;85.58897;0.0002359319;56.82556;-4.337589E-07
D:\EDU\UDACITY\ROBOTICS\ROVER\RoboND-Rover-Project\IMG\robocam_2018_02_15_19_04_14_352.jpg;0;0;0;0;99.66999;85.58897;0.0002358862;56.82556;-2.803334E-07
D:\EDU\UDACITY\ROBOTICS\ROVER\RoboND-Rover-Project\IMG\robocam_2018_02_15_19_04_14_419.jpg;0;0;0;0;99.66999;85.58897;0.0002359319;56.82556;-4.337589E-07
D:\EDU\UDACITY\ROBOTICS\ROVER\RoboND-Rover-Project\IMG\robocam_2018_02_15_19_04_14_486.jpg;0;0;0;0;99.66999;85.58897;0.000235871;56.82556;-2.291937E-07
D:\EDU\UDACITY\ROBOTICS\ROVER\RoboND-Rover-Project\IMG\robocam_2018_02_15_19_04_14_552.jpg;0;0;0;0;99.66999;85.58897;0.0002359167;56.82556;-3.826192E-07
D:\EDU\UDACITY\ROBOTICS\ROVER\RoboND-Rover-Project\IMG\robocam_2018_02_15_19_04_14_619.jpg;0;0;0;0;99.66999;85.58897;0.000235871;56.82556;-2.291937E-07
D:\EDU\UDACITY\ROBOTICS\ROVER\RoboND-Rover-Project\IMG\robocam_2018_02_15_19_04_14_684.jpg;0;0;0;0;99.66999;85.58897;0.0002360342;56.82556;-4.032939E-07
D:\EDU\UDACITY\ROBOTICS\ROVER\RoboND-Rover-Project\IMG\robocam_2018_02_15_19_04_14_751.jpg;0;0;0;0;99.66999;85.58897;0.000235958;56.82556;-1.475891E-07
D:\EDU\UDACITY\ROBOTICS\ROVER\RoboND-Rover-Project\IMG\robocam_2018_02_15_19_04_14_823.jpg;0;0;0;0;99.66999;85.58897;0.0002359733;56.82556;-1.987288E-07
D:\EDU\UDACITY\ROBOTICS\ROVER\RoboND-Rover-Project\IMG\robocam_2018_02_15_19_04_14_886.jpg;0;0;0;0;99.66999;85.58897;0.0002360037;56.82556;-3.010146E-07
D:\EDU\UDACITY\ROBOTICS\ROVER\RoboND-Rover-Project\IMG\robocam_2018_02_15_19_04_14_952.jpg;0;0;0;0;99.66999;85.58897;0.000235958;56.82556;-1.475891E-07
D:\EDU\UDACITY\ROBOTICS\ROVER\RoboND-Rover-Project\IMG\robocam_2018_02_15_19_04_15_019.jpg;0;0;0;0;99.66999;85.58897;0.0002360037;56.82556;-3.010146E-07
D:\EDU\UDACITY\ROBOTICS\ROVER\RoboND-Rover-Project\IMG\robocam_2018_02_15_19_04_15_086.jpg;0;0;0;0;99.66999;85.58897;0.0002359885;56.82556;-2.498685E-07
D:\EDU\UDACITY\ROBOTICS\ROVER\RoboND-Rover-Project\IMG\robocam_2018_02_15_19_04_15_152.jpg;0;0;0;0;99.66999;85.58897;0.0002359885;56.82556;-2.498685E-07
D:\EDU\UDACITY\ROBOTICS\ROVER\RoboND-Rover-Project\IMG\robocam_2018_02_15_19_04_15_217.jpg;0;0;0;0;99.66999;85.58897;0.0002359885;56.82556;-2.498685E-07
D:\EDU\UDACITY\ROBOTICS\ROVER\RoboND-Rover-Project\IMG\robocam_2018_02_15_19_04_15_284.jpg;0;0;0;0;99.66999;85.58897;0.0002359733;56.82556;-1.987288E-07
D:\EDU\UDACITY\ROBOTICS\ROVER\RoboND-Rover-Project\IMG\robocam_2018_02_15_19_04_15_353.jpg;0;0;0;0;99.66999;85.58897;0.000236019;56.82556;-3.521543E-07
D:\EDU\UDACITY\ROBOTICS\ROVER\RoboND-Rover-Project\IMG\robocam_2018_02_15_19_04_15_418.jpg;0;0;0;0;99.66999;85.58897;0.0002359733;56.82556;-1.987288E-07
D:\EDU\UDACITY\ROBOTICS\ROVER\RoboND-Rover-Project\IMG\robocam_2018_02_15_19_04_15_485.jpg;0;0;0;0;99.66999;85.58897;0.0002360037;56.82556;-3.010146E-07
D:\EDU\UDACITY\ROBOTICS\ROVER\RoboND-Rover-Project\IMG\robocam_2018_02_15_19_04_15_551.jpg;0;0;0;0;99.66999;85.58897;0.000235958;56.82556;-1.475891E-07
D:\EDU\UDACITY\ROBOTICS\ROVER\RoboND-Rover-Project\IMG\robocam_2018_02_15_19_04_15_621.jpg;0;0;0;0;99.66999;85.58897;0.0002358862;56.82556;-2.803334E-07
D:\EDU\UDACITY\ROBOTICS\ROVER\RoboND-Rover-Project\IMG\robocam_2018_02_15_19_04_15_688.jpg;0;0;0;0;99.66999;85.58897;0.0002359319;56.82556;-4.337589E-07
D:\EDU\UDACITY\ROBOTICS\ROVER\RoboND-Rover-Project\IMG\robocam_2018_02_15_19_04_15_751.jpg;0;0;0;0;99.66999;85.58897;0.000235871;56.82556;-2.291937E-07
D:\EDU\UDACITY\ROBOTICS\ROVER\RoboND-Rover-Project\IMG\robocam_2018_02_15_19_04_15_821.jpg;0;0;0;0;99.66999;85.58897;0.0002359319;56.82556;-4.337589E-07
D:\EDU\UDACITY\ROBOTICS\ROVER\RoboND-Rover-Project\IMG\robocam_2018_02_15_19_04_15_887.jpg;0;0;0;0;99.66999;85.58897;0.0002358862;56.82556;-2.803334E-07
D:\EDU\UDACITY\ROBOTICS\ROVER\RoboND-Rover-Project\IMG\robocam_2018_02_15_19_04_15_951.jpg;0;0;0;0;99.66999;85.58897;0.0002359319;56.82556;-4.337589E-07
D:\EDU\UDACITY\ROBOTICS\ROVER\RoboND-Rover-Project\IMG\robocam_2018_02_15_19_04_16_017.jpg;0;0.1948737;0;0;99.67055;85.58981;0.02200695;56.85732;-6.892722E-06
D:\EDU\UDACITY\ROBOTICS\ROVER\RoboND-Rover-Project\IMG\robocam_2018_02_15_19_04_16_086.jpg;0;0.4084528;0;0;99.67176;85.59167;0.06662454;56.98746;-9.028328E-05
D:\EDU\UDACITY\ROBOTICS\ROVER\RoboND-Rover-Project\IMG\robocam_2018_02_15_19_04_16_152.jpg;0;0.6029934;0;0.04623908;99.67457;85.59599;0.1719306;57.0933;-0.0002817166
D:\EDU\UDACITY\ROBOTICS\ROVER\RoboND-Rover-Project\IMG\robocam_2018_02_15_19_04_16_219.jpg;0;0.8017257;0;0.06545074;99.67844;85.60195;0.309148;56.95094;0.0003656872
D:\EDU\UDACITY\ROBOTICS\ROVER\RoboND-Rover-Project\IMG\robocam_2018_02_15_19_04_16_286.jpg;0;1;0;0.1076762;99.68632;85.61398;0.5553537;56.8337;-0.0003131629
D:\EDU\UDACITY\ROBOTICS\ROVER\RoboND-Rover-Project\IMG\robocam_2018_02_15_19_04_16_352.jpg;0;1;0;0.1877637;99.69482;85.62691;0.7912005;56.76429;-4.337317E-05
D:\EDU\UDACITY\ROBOTICS\ROVER\RoboND-Rover-Project\IMG\robocam_2018_02_15_19_04_16_419.jpg;0;1;0;0.2395652;99.70517;85.64265;1.046284;56.72094;-0.0003217128
D:\EDU\UDACITY\ROBOTICS\ROVER\RoboND-Rover-Project\IMG\robocam_2018_02_15_19_04_16_486.jpg;0;1;0;0.284591;99.72086;85.66628;1.322438;56.66771;-0.003074164
D:\EDU\UDACITY\ROBOTICS\ROVER\RoboND-Rover-Project\IMG\robocam_2018_02_15_19_04_16_552.jpg;0;1;0;0.3540977;99.73206;85.68292;1.250389;56.63798;0.0008533632
D:\EDU\UDACITY\ROBOTICS\ROVER\RoboND-Rover-Project\IMG\robocam_2018_02_15_19_04_16_620.jpg;0;1;0;0.4194819;99.74458;85.70181;1.137571;56.63408;0.0008455358
D:\EDU\UDACITY\ROBOTICS\ROVER\RoboND-Rover-Project\IMG\robocam_2018_02_15_19_04_16_687.jpg;0;1;0;0.4693999;99.76543;85.73322;1.115793;56.61535;-0.0005152968
D:\EDU\UDACITY\ROBOTICS\ROVER\RoboND-Rover-Project\IMG\robocam_2018_02_15_19_04_16_753.jpg;0;1;0;0.5249655;99.78329;85.76008;1.151173;56.66916;-0.001358014
